Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
478,TOLI,OA,SYMBIOSIS,AllDefenses,TargetIsArmadaOrInvadingEntity,RoundStart,EnemyShip,MultiplyBaseSub,officer_stat=2,Decreases all Armada and Invading Entities base Mitigation stats by X(X at rank X) of Officer Defense every round (Cumulative),Decreases all Armada and Invading Entities base mitigation stats by X of total Officer Defense every round (Cumulative),"1.0, 1.0, 1.0, 1.0, 1.0","1.0, 2.0, 4.0, 7.0, 11.0",FALSE,TRUE,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,✅,,✅,,➖,TargetIsArmadaOrInvadingEntity,✅,,➖,TargetIsArmadaOrInvadingEntity,➖,TargetIsArmadaOrInvadingEntity,➖,AllDefenses,➖,AllDefenses,1664195138,2087036948,283,Rare,,,,1,1,1,1,1,1,2,4,7,11,,
479,TOLI,BDA,SYMBIOSIS,WarpSpeed,,ShipLaunched,SelfShip,MultiplyAdd,,Increases base Warp Speed by X (X at rank X),Increases base warp speed by X,"1.0, 1.0, 1.0, 1.0, 1.0","1.0, 3.0, 6.0, 10.0, 15.0",FALSE,TRUE,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,✅,,3499875070,2087036948,283,Rare,,,,1,1,1,1,1,1,3,6,10,15,,
480,MASRIAD VAEL,OA,SYMBIOSIS,ApexBarrier,TargetIsInvadingEntity,CombatStart,SelfShip,Add,,"On combat start against Invading Entities, increases Apex Barrier by X (X at rank X).",Increases Apex Barrier against Invading Entities by X.,"1.0, 1.0, 1.0, 1.0, 1.0","500.0, 1000.0, 1500.0, 2750.0, 5000.0",FALSE,FALSE,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,✅,,➖,TargetIsInvadingEntity,➖,TargetIsInvadingEntity,➖,ApexBarrier,➖,ApexBarrier,3767792326,473853704,284,Epic,,,,1,1,1,1,1,500,1000,1500,2750,5000,,
481,MASRIAD VAEL,BDA,SYMBIOSIS,CritChance,EnemyHostile,HitTaken,SelfShip,Add,num_rounds=4,"When hit by an Armada or Hostile, increases Critical Hit chance by X (X at rank X) for 4 rounds -- (Weapons with multiple shots will only trigger this ability once per attack).","When hit by an Armada or Hostile, increases Critical Hit chance by X for 4 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","0.04, 0.05, 0.06, 0.08, 0.12",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,✅,,✅,,➖,EnemyHostile,✅,,➖,EnemyHostile,➖,EnemyHostile,➖,CritChance,➖,CritChance,2985939895,473853704,284,Epic,,,,1,1,1,1,1,0.04,0.05,0.06,0.08,0.12,,
482,BYR CH'KELRER,OA,SYMBIOSIS,CritDamage,EnemyHostile,HitTaken,SelfShip,Add,num_rounds=4,"When hit by an Armada or Hostile, increases Critical Damage by X (X at rank X) for 4 rounds -- (Weapons with multiple shots will only trigger this ability once per attack).","When hit by an Armada or Hostile, increases Critical Damage by X for 4 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.08, 0.12, 0.17, 0.25",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,✅,,✅,,➖,EnemyHostile,✅,,➖,EnemyHostile,➖,EnemyHostile,➖,CritDamage,➖,CritDamage,2757146314,3083230680,285,Rare,,,,1,1,1,1,1,0.05,0.08,0.12,0.17,0.25,,
483,BYR CH'KELRER,BDA,SYMBIOSIS,HostileLoot,,ShipLaunched,SelfShip,MultiplyAdd,,Increases base Loot gained from non-Armada Hostiles by X (X at rank X).,Increases base Loot gained from non-Armada Hostiles by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.25, 0.4, 0.65, 1.0",FALSE,TRUE,➖,HostileLoot,➖,HostileLoot,✅,,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,➖,HostileLoot,✅,,➖,HostileLoot,477917953,3083230680,285,Rare,,,,1,1,1,1,1,0.15,0.25,0.4,0.65,1,,
484,PHELLUN,OA,Syndicate,FactionPointsGain,,ShipLaunched,SelfShip,MultiplyAdd,,"Increases base positive Reputation gained from Federation, Klingon and Romulan Hostiles by X (X at rank X)","Increases base positive reputation from Federation, Romulan and Klingon reputation gained by X","1.0, 1.0, 1.0, 1.0, 1.0","0.5, 1.0, 1.75, 2.5, 4.0",FALSE,TRUE,➖,FactionPointsGain,➖,FactionPointsGain,✴️,see description,➖,FactionPointsGain,➖,FactionPointsGain,➖,FactionPointsGain,✴️,see description,✴️,see description,➖,FactionPointsGain,➖,FactionPointsGain,➖,FactionPointsGain,➖,FactionPointsGain,✅,,➖,FactionPointsGain,1628555092,3038078185,286,Epic,,,FactionPointsGain,1,1,1,1,1,0.5,1,1.75,2.5,4,,
485,PHELLUN,BDA,Syndicate,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Increases base protected cargo by X (X at rank X),Increases base protected cargo by X,"1.0, 1.0, 1.0, 1.0, 1.0","1.0, 1.75, 2.5, 4.0, 6.0",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,2654275345,3038078185,286,Epic,,,,1,1,1,1,1,1,1.75,2.5,4,6,,
486,MIRROR UHURA,OA,MIRROR UNIVERSE,ApexBarrier,"TargetNotPlayerStation, EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",HullDamageTaken,SelfShip,MultiplyAdd,num_rounds=2,Increases your existing Apex Barrier by X (X at rank X) for 2 rounds after receiving HHP damage from a player ship with Assimilate (Once per weapon). -- This ability does not trigger when Tal is assigned to the bridge of your ship or during station combat.,+X to existing Apex Barrier when you are hit by a player with Assimilate.,"1.0, 1.0, 1.0, 1.0, 1.0","0.4, 0.5, 0.6, 0.8, 1.0",FALSE,TRUE,✴️,"TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,TargetNotPlayerStation,➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,1914828553,4294120304,916,Epic,,Assimilated,"TargetHasAssimilated, SelfOfficerTalNotOnBridge",1,1,1,1,1,0.4,0.5,0.6,0.8,1,,
487,MIRROR UHURA,BDA,MIRROR UNIVERSE,ApexBarrier,"EnemyHostile, TargetNotArmada, SelfOfficerTalNotOnBridge",CombatStart,SelfShip,Add,,Increases your Apex Barrier by X (X at rank X) at the start of combat versus non-Armada Hostiles. -- This ability does not trigger when Tal is assigned to the bridge of your ship.,+X to Apex Barrier at the start of combat against non-Armada Hostiles.,"1.0, 1.0, 1.0, 1.0, 1.0","700.0, 900.0, 1200.0, 1600.0, 2000.0",FALSE,FALSE,➖,"EnemyHostile, SelfOfficerTalNotOnBridge",➖,"EnemyHostile, SelfOfficerTalNotOnBridge",✴️,SelfOfficerTalNotOnBridge,✴️,SelfOfficerTalNotOnBridge,➖,"EnemyHostile, SelfOfficerTalNotOnBridge",✴️,SelfOfficerTalNotOnBridge,➖,TargetNotArmada,➖,TargetNotArmada,➖,"EnemyHostile, SelfOfficerTalNotOnBridge",➖,TargetNotArmada,➖,"EnemyHostile, SelfOfficerTalNotOnBridge",➖,"EnemyHostile, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,619430526,4294120304,916,Epic,,,SelfOfficerTalNotOnBridge,1,1,1,1,1,700,900,1200,1600,2000,,
488,STARFLEET Q,CM,⇦ RETALIATION SQUAD,AddState,EnemyPlayer,RoundStart,SelfShip,MultiplyAdd,"num_rounds=1, state=8","On round start against players, Starfleet Q has X chance to apply Morale to your ship for 1 round.","On round start against players, Starfleet Q has +X chance to apply Morale to your ship for 1 round.","0.4, 0.1, 0.3","1.0, 1.0, 1.0",TRUE,TRUE,✅,,✅,,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,EnemyPlayer,➖,AddState,➖,AddState,3276152561,2787886893,290,Epic,,,,0.4,0.1,0.3,,,1,1,1,,,,
489,STARFLEET Q,OA,⇦ RETALIATION SQUAD,ApexBarrier,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",RoundStart,SelfShip,Add,num_rounds=5,"On round start, if placed on a ship with Morale against players commanding an Interceptor, Starfleet Q increases your Apex Barrier by X (X at rank X) for 5 rounds. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start, if on a ship with Morale against players commanding an Interceptor, increase your Apex Barrier by X for 5 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","10000.0, 12000.0, 14000.0, 15000.0, 16000.0",FALSE,FALSE,✴️,"SelfHasMorale, EnemyInterceptor, SelfOfficerTalNotOnBridge",✴️,"SelfHasMorale, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,2543274090,2787886893,290,Epic,Morale,,"SelfHasMorale, EnemyInterceptor, SelfOfficerTalNotOnBridge",1,1,1,1,1,10000,12000,14000,15000,16000,,
490,MARIACHI Q,OA,⇦ RETALIATION SQUAD,IsolyticDamage,"SelfHasMorale, EnemyPlayer",RoundStart,SelfShip,MultiplyAdd,num_rounds=3,"On round start, if placed on a ship with Morale against players, Mariachi Q increases your Isolytic Cascade damage by X (X at rank X) for 3 rounds.","On round start, if on a ship with Morale against players, Mariachi Q increases your Isolytic Cascade damage by X for 3 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.6, 0.75, 0.95, 1.2",FALSE,TRUE,✴️,SelfHasMorale,✴️,SelfHasMorale,➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,IsolyticDamage,➖,IsolyticDamage,2245472598,2341819707,291,Rare,Morale,,SelfHasMorale,1,1,1,1,1,0.5,0.6,0.75,0.95,1.2,,
491,MARIACHI Q,BDA,⇦ RETALIATION SQUAD,ApexBarrier,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",RoundStart,SelfShip,Add,num_rounds=1,"On round start against players afflicted by Burning, Mariachi Q increases your Apex Barrier by X (X at rank X) for 1 round. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start against players afflicted by Burning, increase your Apex Barrier by X for 1 round.","1.0, 1.0, 1.0, 1.0, 1.0","7000.0, 8000.0, 10000.0, 12000.0, 15000.0",FALSE,FALSE,✴️,"TargetHasBurning, SelfOfficerTalNotOnBridge",✴️,"TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,1574837300,2341819707,291,Rare,,Burning,"TargetHasBurning, SelfOfficerTalNotOnBridge",1,1,1,1,1,7000,8000,10000,12000,15000,,
492,FRENCH MARSHAL Q,OA,⇦ RETALIATION SQUAD,ShotsPerAttack,"SelfHasMorale, EnemyPlayer",RoundStart,SelfShip,MultiplyAdd,num_rounds=3,"On round start, if placed on a ship with Morale against players, French Marshal Q increases your weapon shots by X (X at rank X) for 3 rounds.","On round start, if placed on a ship with Morale against players, French Marshal Q increases your weapon shots by X for 3 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.3, 0.35, 0.4, 0.5",FALSE,TRUE,✴️,SelfHasMorale,✴️,SelfHasMorale,➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,"SelfHasMorale, EnemyPlayer",➖,ShotsPerAttack,➖,ShotsPerAttack,508841684,2862563009,292,Rare,Morale,,SelfHasMorale,1,1,1,1,1,0.25,0.3,0.35,0.4,0.5,,
493,FRENCH MARSHAL Q,BDA,⇦ RETALIATION SQUAD,HullRepair,"EnemyPlayer, TargetStateAny",RoundEnd,SelfShip,MultiplyAdd,,"On round start, if the enemy player has any state, French Marshal Q repairs X (X at rank X) of hull damage taken in the previous round of combat.","On round start, if the enemy player has any state, repair +X of hull damage taken in the previous round of combat.","1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.07, 0.1, 0.14, 0.2",FALSE,TRUE,✴️,TargetStateAny,✴️,TargetStateAny,➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,"EnemyPlayer, TargetStateAny",➖,HullRepair,➖,HullRepair,2886105420,2862563009,292,Rare,,Any State,TargetStateAny,1,1,1,1,1,0.05,0.07,0.1,0.14,0.2,,
494,SORAN,CM,⇧ RETALIATION SQUAD,AddState,"EnemyPlayer, SelfOfficerTalNotOnBridge",RoundStart,EnemyShip,MultiplyAdd,"num_rounds=1, state=2","On round start against players, Soran has X chance to apply Burning to your target for 1 round. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start against players, Soran has +X chance to apply Burning to your target for 1 round.","0.4, 0.1, 0.3","1.0, 1.0, 1.0",TRUE,TRUE,✴️,SelfOfficerTalNotOnBridge,✴️,SelfOfficerTalNotOnBridge,➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, SelfOfficerTalNotOnBridge",➖,AddState,➖,AddState,3134842541,783581005,294,Epic,,,SelfOfficerTalNotOnBridge,0.4,0.1,0.3,,,1,1,1,,,,
495,SORAN,OA,⇧ RETALIATION SQUAD,ApexBarrier,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",RoundStart,SelfShip,Add,num_rounds=5,"On round start against players commanding an Explorer afflicted by Burning, Soran increases your Apex Barrier by X (X at rank X) for 5 rounds. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start against players commanding an Explorer afflicted by Burning, Soran increases your Apex Barrier by X for 5 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","10000.0, 12000.0, 14000.0, 15000.0, 16000.0",FALSE,FALSE,✴️,"EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",✴️,"EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,2994432443,783581005,294,Epic,,Burning,"EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",1,1,1,1,1,10000,12000,14000,15000,16000,,
496,ROMI,OA,⇧ RETALIATION SQUAD,IsolyticDefense,"EnemyPlayer, TargetHasBurning",RoundStart,SelfShip,Add,num_rounds=3,"On round start against players afflicted by Burning, Romi increases your Isolytic Defense by X (X at rank X) for 3 rounds.","On round start against players afflicted by Burning, Romi increases your Isolytic Defense by X for 3 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","1.0, 1.2, 1.4, 1.7, 2.0",FALSE,TRUE,✴️,TargetHasBurning,✴️,TargetHasBurning,➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,IsolyticDefense,➖,IsolyticDefense,213451749,312289551,293,Rare,,Burning,TargetHasBurning,1,1,1,1,1,1,1.2,1.4,1.7,2,,
497,ROMI,BDA,⇧ RETALIATION SQUAD,ApexBarrier,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",RoundStart,SelfShip,Add,num_rounds=1,"On round start against players afflicted by Hull Breach, Romi increases your Apex Barrier by X (X at rank X) for 1 round. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start against players afflicted by Hull Breach, Romi increases your Apex Barrier by X for 1 round.","1.0, 1.0, 1.0, 1.0, 1.0","7000.0, 8000.0, 10000.0, 12000.0, 15000.0",FALSE,FALSE,✴️,"TargetHasHullBreach, SelfOfficerTalNotOnBridge",✴️,"TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,"EnemyPlayer, TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,2315532916,312289551,293,Rare,,Hull Breach,"TargetHasHullBreach, SelfOfficerTalNotOnBridge",1,1,1,1,1,7000,8000,10000,12000,15000,,
498,MISS Q,OA,⇧ RETALIATION SQUAD,IsolyticDamage,"EnemyPlayer, TargetHasBurning",RoundStart,SelfShip,MultiplyAdd,num_rounds=3,"On round start against players afflicted by Burning, Miss Q increases your Isolytic Cascade damage by X (X at rank X) for 3 rounds.","On round start against players afflicted by Burning, Miss Q increases your Isolytic Cascade damage by X for 3 rounds.","1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.6, 0.75, 0.95, 1.2",FALSE,TRUE,✴️,TargetHasBurning,✴️,TargetHasBurning,➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,"EnemyPlayer, TargetHasBurning",➖,IsolyticDamage,➖,IsolyticDamage,3605405429,93766267,295,Rare,,Burning,TargetHasBurning,1,1,1,1,1,0.5,0.6,0.75,0.95,1.2,,
499,MISS Q,BDA,⇧ RETALIATION SQUAD,ApexBarrier,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",RoundStart,SelfShip,Add,num_rounds=1,"On round start, if placed on a ship with Morale against players, Miss Q increases your Apex Barrier by X (X at rank X) for 1 round. -- This ability does not trigger when Tal is assigned to the bridge of your ship.","On round start, if placed on a ship with Morale against players, Miss Q increases your Apex Barrier by X for 1 round.","1.0, 1.0, 1.0, 1.0, 1.0","7000.0, 8000.0, 10000.0, 12000.0, 15000.0",FALSE,FALSE,✴️,"SelfHasMorale, SelfOfficerTalNotOnBridge",✴️,"SelfHasMorale, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,"SelfHasMorale, EnemyPlayer, SelfOfficerTalNotOnBridge",➖,ApexBarrier,➖,ApexBarrier,1775722178,93766267,295,Rare,Morale,,"SelfHasMorale, SelfOfficerTalNotOnBridge",1,1,1,1,1,7000,8000,10000,12000,15000,,
